SrcAddr,Sport,DstAddr,Dport,DstLoad,SrcPkts,SrcBytes,DstLoss,DstBytes,sMeanPktSz,SrcLoad,dMeanPktSz,Rate
192.168.1.96,41626,192.168.1.1,domain,0.000000,1,90,0,192,90.000000,0.000000,192.000000,17.720129
192.168.1.96,40645,192.168.1.1,domain,0.000000,1,90,0,217,90.000000,0.000000,217.000000,18.061300
192.168.1.96,33328,192.168.1.1,domain,0.000000,1,100,0,187,100.000000,0.000000,187.000000,8.665436
192.168.1.96,40713,142.250.200.234,https,132856.656250,8,2697,0,3919,337.125000,89994.757812,435.444458,76.266739
192.168.1.96,51810,151.101.0.176,https,3457799.500000,422,32337,2,882045,76.627960,126704.398438,1633.416626,471.788422
192.168.1.96,51369,192.168.1.1,domain,0.000000,1,84,0,186,84.000000,0.000000,186.000000,12.477852
192.168.1.96,46237,192.168.1.1,domain,0.000000,1,84,0,180,84.000000,0.000000,180.000000,12.492504
192.168.1.96,43547,192.168.1.1,domain,0.000000,1,85,0,169,85.000000,0.000000,169.000000,9.094464
192.168.1.96,55810,192.168.1.1,domain,0.000000,1,83,0,131,83.000000,0.000000,131.000000,12.530858
192.168.1.96,50527,192.168.1.1,domain,0.000000,1,83,0,167,83.000000,0.000000,167.000000,12.382828
192.168.1.96,36702,34.241.202.139,https,3785.358154,7,1173,0,941,167.571426,5057.198242,188.199997,6.912174
192.168.1.96,48569,192.168.1.1,domain,0.000000,1,95,0,156,95.000000,0.000000,156.000000,11.543345
192.168.1.96,51090,54.186.23.98,https,55748.308594,97,78670,1,27290,811.030945,160509.859375,248.090912,53.084793
192.168.1.96,46715,192.168.1.1,domain,0.000000,1,98,0,146,98.000000,0.000000,146.000000,20.205286
192.168.1.96,46126,192.168.1.1,domain,0.000000,1,98,0,182,98.000000,0.000000,182.000000,8.560838
192.168.1.96,47479,192.168.1.1,domain,0.000000,1,97,0,145,97.000000,0.000000,145.000000,18.022240
192.168.1.96,60402,192.168.1.1,domain,0.000000,1,97,0,181,97.000000,0.000000,181.000000,8.218818
192.168.1.96,51820,151.101.0.176,https,255847.296875,12,1959,0,6229,163.250000,80473.164062,519.083313,128.819794
